VM_ID,MIPS,Rate,Reputation
0,985,0.198,0
1,941,0.406,0
2,905,0.465,0
3,858,0.639,0
4,830,0.226,0
5,772,0.718,0
6,759,0.304,0
7,752,0.27,0
8,750,0.12,0
9,510,0.553,0
10,494,0.279,0
11,427,0.9,0
12,418,0.156,0
13,359,0.311,0
14,348,0.759,0
15,242,0.54,0
16,234,0.43,0
17,207,0.565,0
18,191,0.672,0
19,154,0.26,0
20,995,0.415,0
21,972,0.182,0
22,946,0.583,0
23,918,0.258,0
24,899,0.734,0
25,867,0.341,0
26,853,0.128,0
27,829,0.647,0
28,803,0.209,0
29,781,0.452,0
30,769,0.716,0
31,742,0.189,0
32,711,0.332,0
33,687,0.514,0
34,661,0.174,0
35,639,0.856,0
36,608,0.267,0
37,582,0.744,0
38,559,0.337,0
39,533,0.903,0
40,512,0.196,0
41,489,0.478,0
42,462,0.315,0
43,436,0.676,0
44,414,0.229,0
45,392,0.821,0
46,357,0.364,0
47,324,0.912,0
48,276,0.182,0
49,233,0.643,0
50,580,0.146,0
51,524,0.167,0
52,287,0.45,0
53,383,0.12,0
54,267,0.161,0
55,408,0.435,0
56,905,0.92,0
57,970,0.62,0
58,844,0.188,0
59,474,0.92,0
60,426,0.92,0
61,958,0.203,0
62,332,0.26,0
63,286,0.12,0
64,703,0.621,0
65,870,0.214,0
66,232,0.92,0
67,183,0.12,0
68,477,0.414,0
69,213,0.709,0
70,306,0.141,0
71,170,0.92,0
72,775,0.859,0
73,921,0.409,0
74,970,0.198,0
75,454,0.92,0
76,506,0.12,0
77,453,0.891,0
78,932,0.572,0
79,276,0.166,0
80,466,0.403,0
81,897,0.29,0
82,276,0.92,0
83,937,0.725,0
84,588,0.427,0
85,821,0.192,0
86,158,0.12,0
87,789,0.37,0
88,310,0.16,0
89,685,0.543,0
90,939,0.696,0
91,278,0.12,0
92,425,0.371,0
93,267,0.882,0
94,950,0.713,0
95,256,0.204,0
96,489,0.319,0
97,628,0.92,0
98,299,0.168,0
99,468,0.384,0
100,985,0.146,0
101,941,0.167,0
102,905,0.45,0
103,858,0.12,0
104,830,0.161,0
105,772,0.435,0
106,759,0.92,0
107,752,0.62,0
108,750,0.188,0
109,510,0.92,0
110,494,0.92,0
111,427,0.203,0
112,418,0.26,0
113,359,0.12,0
114,348,0.621,0
115,242,0.214,0
116,234,0.92,0
117,207,0.12,0
118,191,0.414,0
119,154,0.709,0
120,995,0.141,0
121,972,0.92,0
122,946,0.859,0
123,918,0.409,0
124,899,0.198,0
125,867,0.92,0
126,853,0.12,0
127,829,0.891,0
128,803,0.572,0
129,781,0.166,0
130,769,0.403,0
131,742,0.29,0
132,711,0.92,0
133,687,0.725,0
134,661,0.427,0
135,639,0.192,0
136,608,0.12,0
137,582,0.37,0
138,559,0.16,0
139,533,0.543,0
140,512,0.696,0
141,489,0.12,0
142,462,0.371,0
143,436,0.882,0
144,414,0.713,0
145,392,0.204,0
146,357,0.319,0
147,324,0.92,0
148,276,0.168,0
149,233,0.384,0
